* Required Fields,* Trường bắt buộc
"Any Questions? Use this form to contact us. Our representative will get back to you","Bạn muốn hỏi gì? Sử dụng mẫu này để liên hệ với chúng tôi, chúng tôi sẽ trả lời bạn sớm nhất có thể"
"Please enter your Full name","Xin hãy nhập tên đầy đủ"
"So we can get back to you",""
"Please enter the details of your request and we'll respond as quickly as possible","Xin hãy nhập cụ thể yêu cầu của bạn chúng tôi sẽ trả lời sớm nhất có thể"

"Login or Create an Account","Đăng nhập hoặc Đăng ký"
"New Customers","Khách hàng mới"
"By creating an Account, you will be able to proceed with the checkout process faster, store multiple shipping addresses, view and track your orders in your account and lot more",""
"Registered Customers","Khách hàng đã đăng ký"
"If you have an Account with us, Please Login","Nếu bạn đã có mật khẩu xin vui lòng đăng nhập"
"Forgot Your Password?","Quên mật khẩu?"

"Buy this for your Friend!","Mua tặng bạn bè!"
"Fill in the Form to Gift your Friend!","Điền thông tin theo mẫu"
"Friend's Name","Tên người bạn"
"Your Name","Tên bạn"
"Friend's Email Address","Địa chỉ e-mail của người bạn"
"Are you sure you want to delete?","Bạn có chắc muốn xóa"
"Grand Total: ","Tổng giá trị"
"Checkout","Thanh toán"
"Thank you for your Deal!","Cảm ơn bạn vì khuyến mãi này"
"Your Deal # is: ","Khuyến mãi của bạn # là"
"You will receive an Email stating the details of your Deal and a Link to track its Progress...","Bạn sẽ nhận được một email ghi rõ các chi tiết khuyến mãi của bạn và một liên kết để bạn theo dõi tiến độ của nó ..."
"Continue Shopping","Tiếp tục mua"
"Login","Đăng nhập"
"Subscribe","Đăng ký nhận thư"
"Create an Account","Tạo tài khoản mới"
"Date of Birth","Ngày sinh"
"Gender","Giới tính"
"Male","Nam"
"Female","Nữ"
"Register to Create an Account","Đăng ký tài khoản mới"
"Checkout Method","Đăng nhập hoặc Đăng ký để bắt đầu đặt mua"
"Login","Đăng nhập"
"Register with us for future convenience:","Đăng ký với chúng tôi để tiện hơn trong tương lai:"
"Please log in below:","Thông tin đăng nhập:"
"Login or Create an Account ","Đăng nhập hoặc Tạo tài khoản mới"
"Maximum one item to add the shopping cart.","Tối đa chỉ được 1 loại khuyến mãi trong giỏ hàng. Xin vui lòng Thanh toán hoặc bấm nút X để Gỡ bỏ nếu muốn mua khuyến mãi khác."
"You have no items in your shopping cart.","Không có khuyến mãi nào trong giỏ hàng của bạn"
"Friend's name","Tên người bạn"
"Friend's email","Email người bạn"
"Message subject","Tiêu đề lời nhắn"
"Message text","Nội dung"
"You have no referred friends.","Rủ Nhau đang phát triển chức năng này, xin vui lòng quay lại sau."
"Share the link with your friends:","Chia sẻ link này đến bạn bè của bạn:"
"Any Questions? Use this form to contact us. Our representative will get back to you.","Bất cứ yêu cầu gì, xin hãy dùng mẫu dưới đây để liên hệ với chúng tôi, chúng tôi sẽ liên hệ lại ngay với bạn."
"please enter your full name","xin hãy nhập đầy đủ họ tên"
"Please enter the details of the request we will respond as quickly as possible.","Nội dung ngắn gọn cụ thể để chúng tôi có thể giúp bạn được nhanh hơn."
"Enter the code","Nhập mã bảo vệ"
"Please enter the code, which is used for spam filter.","Xin vui lòng nhập 2 từ vào ô dưới"
"Save in address book","Lưu vào sổ địa chỉ"
"Buy Options","Tùy chọn mua"
"Fill out the form below and give the gift!","Điền những thông tin dưới đây để tặng khuyến mãi này cho bạn bè"
"Friend Name","Tên người bạn"
"Friend Email Address","Email người bạn"
"This email address was not found in our records.","Không tìm thấy email này trong danh sách khách hàng"
"Confirmation request has been sent.","Thông tin đã được gửi đi thành công."
